text,Financial_Problem,Other,Everyday_Decision_Making,Emotional_Turmoil,School,Family_Issues,Social_Relationships,Work,Health_Fatigue_Physical_Pain
SCHOOL School is incredibly hectic.,0,0,0,1,1,0,0,0,0
Things are tough at home for my Mum.,0,1,1,1,0,1,0,0,0
"I want so so badly to make them feel better, but we all know it's tough to cheer someone up when they've set their mind on being depressed.",0,0,0,1,0,0,1,0,0
Coronavirus and my job situation.,0,0,0,1,0,0,0,1,1
work has been stressing me out. at the deadlines for a lot of projects!,0,0,0,0,0,0,1,1,0
lately i don't have enough time after work. i get home and have to cook for everyone.,0,0,0,0,0,1,1,1,1
"This week has been really rough, for some reason I'm super stressed at work and my jaw hurts from unconsciously clenching it all the time.",0,0,0,0,0,0,0,1,1
School is so stressful that I have to drop one of my classes today.,0,0,0,1,1,0,0,0,0
"oh yes, I love to make dinner! but the part of my day that made me mad, is that I don't have a license. I feel horrible about it.",0,1,1,1,0,0,0,0,0
"my life is so hard, and my boyfriend just broke up with me, and my parents got a divorce.",0,0,0,0,0,1,1,0,0
The daily ups and downs.,0,0,1,1,0,0,0,0,0
"The problem is, I've missed some of the classes so much (Soc. and World Hist.)",0,0,0,0,1,0,0,0,0
hi. i have been stressing making ends meet this month. what about you?,1,0,0,1,0,0,0,0,0
I guess it's probably because my life has been lacking substance these past few weeks.,1,1,0,1,0,0,0,0,0
"I was stressed today, trying to get everything done.",0,1,1,1,1,0,0,1,0
i miss my friend we got into it really bad the other day and now she wont talk to me,0,0,0,1,0,0,1,0,0
I'm finding being back at school quite hard.,0,0,0,0,1,0,0,0,0
"i am stressed out financially, i am worried about paying my bills.",1,0,0,0,0,0,0,0,0
i really haven't been able to get any sleep recently.,0,0,0,1,0,0,0,0,1
"Kisha had a rough weekend, seeing as how her grandpa passed away.",0,0,0,1,0,1,1,0,1
not hearing from ace,0,1,0,0,0,0,1,0,0
i need to get good grades,0,0,1,0,1,0,0,0,0
Not happy about having to stay home in semi isolation,1,0,1,1,1,1,1,0,0
I just had a mental breakdown.,0,0,0,1,0,0,0,0,1
"the recent talks of war and conflict, and the economic turmoil from that.",1,1,0,1,0,0,0,0,0
just a little stressed out by the holidays.,0,1,1,1,0,1,1,0,0
"i dont have a car now bc it costs to much to fix, so its a total loss.",1,0,1,0,0,0,0,0,0
"During the past few weeks his condition has worsened immensely, and he has spent several weeks in the hospital.",0,0,0,1,0,1,1,0,1
i got a new boss that doesn't perform his job properly,1,0,0,0,0,0,0,1,0
work! we are short handed and so all the work gets dumped on me,0,0,0,0,0,0,0,1,0
but my throat hurts and i have a headache and my tummy is sad. but,0,0,0,0,0,0,0,0,1
My husband's work had someone test positive for Coronavirus and they might shut down.,0,0,0,0,0,1,1,1,1
It bothers me because it reminds me of my mother and I get scared.,0,0,0,1,0,1,0,0,0
"Everyday that passes by, it gets more and more tough.",1,0,1,1,1,0,0,0,0
looking for a new job,1,0,0,0,0,0,0,1,0
"classes are starting to bore me, which i think is bad this early in the semester. off to plan some more.",0,1,0,0,1,0,0,0,1
i'm trying to figure out this new app so i can plan my meals tomorrow.,0,1,1,1,0,0,1,1,0
i was unhappy and my life was in upheavel c. me and my girlfriend argue occasionally.,0,0,0,1,0,0,1,0,1
It comes as no surprise that attendees will have a difficult decision to make every day.,0,1,1,0,0,0,0,0,0
"Not something I'm really looking forward to, but Gerry still hasn't called me back or responded to the emial I sent Wednesday, so whatever. I need money.",1,1,1,0,0,0,1,0,0
I'm losing hours at work due to the virus.,1,1,0,0,0,0,0,1,0
i'm a self-employed musician and work is slow right now.,1,0,0,0,0,0,0,1,0
The COVID-19 has presented a stressful situation for me recently.,1,0,1,1,0,0,0,1,1
remember to take your time to process the situation. perhaps it's not as bad as it seems,0,1,1,0,0,0,0,0,0
"I've not been home in awhile,..so most of my food had gotten sad.",0,1,1,0,0,0,0,0,0
ive been thinking about house situation,1,1,0,1,0,1,0,0,0
"Suki is losing weight again, and I don't know what to do.",0,0,0,1,0,1,1,0,1
Trying to find things that are sold out at stores.,0,1,1,0,0,1,1,0,0
i really don't know what to do with myself this week.,0,1,1,0,0,0,0,0,1
Too bad they have to go back to school.,0,1,0,0,1,0,0,0,0
ome people get pissed at me and just dont talk to me anymore and they never even talked to me about it like tina.,0,0,0,1,1,0,1,0,0
boss keeps piling me up with work,0,0,0,0,0,0,0,1,0
my lease is ending soon,1,1,1,1,0,0,0,0,0
raising a  teenage girl  can be stressful,0,1,0,0,0,1,0,0,0
"There will be no work for me, no lab, no registration talk or correspondences with those on either side of this still very volatile issue.",0,0,0,1,1,0,1,1,0
"ahhh school sucks. its the same old crap day after day, and when your teachers feel that they dont have you under their total control, they just titch you.",0,1,0,0,1,0,0,0,0
enough money for retirement,1,1,0,0,0,0,0,0,1
trying to find more clients to support the business so i can afford my own place.,1,0,0,0,0,0,0,1,0
i cooked a turkey upside down. the meat was moist but now my family's teasing me.,0,1,1,1,1,1,0,0,0
a coworker completely ignored and replaced my work,0,0,0,1,0,0,1,1,0
"well, money's been a little tight, but it'll be fine.  just a temporary issue.",1,0,0,1,0,0,0,0,0
"well, i have to take a shower and then freeze when i get out because it's like in the 'teens outside and really super cold in my house.",0,1,1,0,0,0,0,0,1
The corona virus affecting my family in a negative way.,0,1,0,1,0,1,1,0,1
i am having some financial issues lately.,1,0,0,1,0,0,0,0,0
I have to finish my final essay this weekend.,0,0,0,0,1,0,0,0,0
"i haven't felt very useful lately, and i've often felt bothersome to my friends.",0,1,0,1,1,0,1,0,0
"so tomorrow, my life ends a lot.",0,1,0,1,0,0,0,0,1
the kids being home from school for winter break,0,1,0,0,0,1,1,0,0
i have been stressed about making new friends,0,0,0,1,0,0,1,0,0
From the coronavirus laid off from my serving job has created so much financial stress,1,0,0,0,0,0,1,1,0
jeepney rides always mean grilling my head for a possible story.,0,1,1,0,0,0,1,0,0
"Okay, I've been thinking a lot today which is probably bad.",0,1,0,1,0,0,0,0,0
work and the corona-virus pandemic,1,0,1,0,0,0,0,1,1
My school work. :(,1,0,0,0,1,0,0,0,0
"in one word: everything. honestly, i keep losing. i put everything i have into my work.",0,0,1,1,0,0,0,1,0
i have my economics final on monday and i haven't studied!,0,1,0,0,1,0,0,0,0
"well, i have a bunch of tests for school coming up.",0,1,0,0,1,0,0,0,0
my dad is getting on my nerves he is starting to make me think his fuck buddy is more important to him than I am.,0,1,0,0,0,1,1,0,0
I'm scared of not having a family.,0,0,0,1,0,1,1,0,0
I was extremely busy and I can't have lunch with my colleagues.,0,0,0,0,0,0,1,1,0
having to stay 6 feet away from everyone,0,1,1,0,0,0,1,0,0
"Worst of all, I have work today, and as I have already had the weekend off sick, I can hardly call in again this morning.",0,0,0,0,0,0,0,1,1
I feel like a bad person XD And I am sore and tired and I have a headache,0,1,0,1,0,0,0,0,1
"these people that i work with piss me off so much. """,0,0,0,1,0,0,1,1,0
It the constant stomach problems that are currently really starting to aggravate me.,0,0,0,0,0,0,0,0,1
i haven't been sleeping well lately.,0,0,0,1,0,0,0,1,1
"went to grocery for tgiving meal, and totally forgot turkey",0,1,1,1,0,1,0,0,0
My Uncle phoned because my Grandparents had told him I was really really ill and collapsing every time I moved a muscle.,0,0,0,1,0,1,0,0,1
Today has been rough with my kids fighting back and forth.,0,1,0,1,0,1,0,0,0
i just had an auto accident. i need to know what to do.,1,1,0,0,0,0,0,0,1
"I had a big falling out with my Dad, and all I can think about is that fight.",0,0,0,1,0,1,0,0,0
I am worried about losing my job.,1,0,0,0,0,0,0,1,0
The corona virus pandemic and uncertainty anout my future as a result.,0,1,1,1,0,0,0,1,1
"This COVID bullshit, man",0,0,0,1,0,0,0,1,1
I have been stressed out about COVID-19,1,1,0,1,0,0,0,0,1
i am stressed at work because i have very little time to breathe!,0,0,0,0,0,0,0,1,0
work has been so crazy busy,0,0,0,0,0,0,0,1,0
My family drives me crazy,0,0,0,1,0,1,1,0,0
All my friends here had the flu.,0,0,0,0,0,0,1,0,1
"My financial situation, as shaky as it already is, probably couldn't handle a huge premium hike let alone getting dropped by my insurance company.",1,0,1,0,0,0,0,0,1
my financial situaition is tough this month.,1,1,0,0,0,0,0,0,0
There's even just so much to get done in the next two weeks and I'm losing steam.,0,1,1,1,0,0,0,0,1
I know it's been hard with school and all the changes that have occurred this year.,0,0,0,0,1,0,0,0,0
If there is enough to do at work so that I will not get laid off.,1,0,0,1,0,0,0,1,0
I have just been under alot of stress lately.,0,1,0,1,0,0,0,0,1
I got a tonne of other shit now i have to worry about especially with me becoming Assisstant Manager at work.,0,0,1,0,0,0,0,1,0
yeah finding a job that earns more $$$$,1,0,0,0,0,0,0,1,0
my work has been doing some upgrading.,0,1,0,0,0,0,0,1,0
"With Christmas coming, everything's been hectic.",0,1,1,1,0,1,1,0,0
"The roomie was sick yesterday, and we're not sure what with.",0,0,0,0,0,1,1,0,1
i haven't been getting enough help around the house.,0,1,1,0,0,1,1,0,1
"Our family dog suddenly started battling health problems and before we knew it, she had died.",0,0,0,1,0,1,0,0,1
my mom started crying and she said it hurts that my sister didnt go to her for this kinda stuff.,0,0,0,1,0,1,1,0,0
while taking those drink so much alcohol so then there has to be something that will happen to me and then maybe he'll feel bad. here,0,1,0,1,0,1,1,0,1
the thought of food made me feel sick. lately,1,1,1,1,0,0,0,0,1
I just didn't have enough money to cover my expenses.,1,0,0,0,0,0,0,0,0
no problem,0,1,0,0,0,0,0,0,0
overtime at work!,1,0,0,1,0,0,0,1,0
"I'm so frustrated with life right now, I can't even think of anything to say.",1,0,1,1,0,0,1,0,0
I'm tired and not sleeping great.,0,0,1,0,0,0,0,0,1
work is doing my head in,0,1,0,0,0,0,0,1,0
"i've just been so busy lately, i'm not even updating this from my house.",0,1,1,0,0,0,0,1,0
I've been really procrastinatory with all of my school work lately and it's starting to bite me in the rear end.,0,0,0,0,1,0,0,0,0
Often times these places are stressful to work for and the staff and volunteers feel a lot of emotional stress.,0,0,0,1,0,0,0,1,0
i'm worried that i've gotten myself into a very awkward situation,0,1,1,1,0,0,1,0,0
My job has really screwed with me.,0,0,0,0,0,0,0,1,0
quarantine,0,1,0,1,0,0,0,0,1
"hmmm, but this weekend spent a lot of time thinking on where i am going to go to college. . .",0,1,0,1,1,0,0,0,0
Dammit i really need a job so I can get some money.,1,1,0,0,0,0,0,1,0
I am stressing a bit about money.,1,1,0,0,0,0,0,0,0
i have an essay due tomorrow and i haven't started,0,0,0,0,1,0,0,1,0
recently i have been stressed about finding a job that values me as an individual.,1,1,0,0,0,1,0,1,0
"No matter what I know, it's hard to have it happen to my Mom, you know?",0,0,0,1,0,1,0,0,0
This stupid money situation is coming down on me pretty hard right now.,1,0,1,0,0,0,0,0,0
"the COVID-19 pandemic is bothering me a lot, when will it pass my God",1,1,1,1,0,1,0,0,1
"I've had some sort of expressive block lately, and I don't like it!",1,0,1,1,1,0,1,1,0
"Your Actual Problem Anxiety and a restless dissatisfaction, either with circumstances or with unfulfilled emotional requirements, have produced considerable stress.",0,1,1,1,0,0,0,0,1
breakfast takes too long to cook. and christmas needs to get here because I really want to know what linda got me.,0,1,0,1,0,0,1,0,0
high school drama is the worst.,0,0,0,0,1,0,1,0,0
hopefully i'll get all my christmas shopping done..that's been a very stressful situation for me this year.,0,1,1,0,0,0,0,0,0
i neeed to leeeave my parents are being totally weird and annoying i'm desperate.,0,0,0,0,0,1,0,0,0
I feel bad. I have to go get one today.,0,1,0,1,0,0,0,0,0
yesterday i had a stressful situation at my work place.,0,0,0,0,0,0,1,1,0
my superiors at work are taking advantage of me,0,0,0,1,0,0,1,1,0
"So, what will this weekend hold? Probly me procrastinating for studying for finals most of the time",0,1,1,0,1,0,0,0,0
i just get mad at him bc he smokes so much and like its really hard to explain.,0,0,0,0,0,1,1,0,1
I have too much homework left to do.,0,0,0,0,1,0,0,0,0
my friend was died in road accident,0,0,0,1,0,0,1,0,0
i have no money to buy food for the cats and i can pay bills.,1,0,0,0,0,0,1,0,0
I've recently started to compose music and finding a good melody is stressful,0,1,1,1,0,0,0,1,0
moving to my new home is just so stressing,1,1,1,0,0,1,0,1,0
i have a ton things i have to do to outside of class and that sucks.,0,1,1,1,1,0,0,0,0
i was frustrated about passing out a lot.,0,0,0,0,0,0,0,0,1
I just have a hard time letting everyone know what's going on in my life.,0,1,1,0,0,1,1,0,0
i have been stressed about my financial situation,1,0,0,0,0,0,0,0,0
"Yunno its sad when you wait the entire week for just one day, and that one day consists of eating, lol.",0,1,0,1,0,1,1,0,0
"didn't have the money to enroll for classes until today, yikes",1,0,0,0,1,0,0,0,0
i have a chemistry test tomorrow and i'm really nervous,0,0,0,1,1,0,0,1,0
Trying to navigate my state's unemployment website!,1,1,0,1,0,0,1,0,0
not knowing what i want to do with my life.,0,1,1,1,0,0,0,0,0
"Due to the coronavirus, I no longer have a job, it is scary.",1,0,0,0,0,0,0,1,0
if i will be able to get tickets to my favorite show before they sell out,0,1,1,0,0,0,1,0,0
Well its been awhile so ill update ya on things that have been going on -work sucks right now.,0,0,1,0,0,0,0,1,0
i feel like i don't really know what's going on in my friends lives anymore and that makes me sad.,0,1,0,1,0,0,1,0,0
"bills. with the holidays coming up, i just don't know how i'm going to manage.",1,0,1,0,0,1,0,0,0
i am trying to get full custody of my child and am undergoing a custody evaluation.,0,0,0,1,0,1,1,0,0
"pests get really fkking angry when you try to blow them off, and that can be really awk when you have guests. as in, omg",0,1,0,0,0,0,1,0,0
"I have been scheduling my GRE, which I am kind of (alot actually) nervous about.",0,0,0,0,1,0,0,1,0
not having enough staff to complete the job and therefore no money coming in.,1,0,0,0,0,0,0,1,0
i just need to sort a lot out and i think its time i got help from people who really know what is wrong with me.,0,1,0,1,0,0,1,0,1
Its easily this horrible virus going around. It is been tough and staying home sucks,1,0,0,1,0,0,1,0,1
"I'm contemplating whether to wuit my job or not, becuz i have so much crap going on.",0,1,1,1,0,0,0,1,0
We made a terrible mistake.,0,1,1,0,0,0,0,0,0
I have been very stressed out because of the coronavirus,0,1,0,1,0,0,1,0,1
Worried about whether the work will hold up when things get bad.,1,0,0,1,0,0,1,1,0
I wanted to be happy,0,1,0,1,0,0,0,0,0
it's hard cause I dont use cash too often now. anyway.,1,1,0,0,0,0,0,0,0
I have been really stressing about the coronavirus.,1,1,0,1,0,0,0,0,1
I am wondering if the current virus situation is going to affect my job.,0,0,0,0,0,0,1,1,0
The fact that I have online classes and not in class lectures,0,1,0,1,1,0,0,0,0
trying to keep a roof over our heads,1,0,1,0,0,1,0,0,0
my bosses are engaged in some serious conflict and dragging me into it,1,0,0,0,0,0,1,1,0
i can't find a full time job.,1,0,1,0,0,0,0,1,0
work school life you know,1,0,0,0,1,0,0,1,0
i don't let stress get to me.,0,1,1,0,0,0,0,0,0
"well work is going to suck the next couple weeks or should i say my paycheck, I am sceduled two days the next two weeks, how much does that suck.",1,0,0,0,0,0,0,1,0
Hi dear am not comfortable with my boyfriend,0,0,0,1,0,0,1,0,0
the crazy people i have to deal with everyday,0,1,0,0,0,0,1,0,0
I'm struggling to make rent as I lost my job and kinda have nowhere to go.,1,0,0,1,0,0,0,1,0
No money. No job. No worries.,1,1,0,0,0,0,0,1,0
I am stressing about my recovery from my surgery,0,0,0,1,0,0,0,0,1
Work is straight up killing me,0,0,0,0,0,1,0,1,1
"I mean, it sucked while I was stressed, thinking I'd never get it done on time.",0,1,1,0,1,0,0,0,0
"I have a problem with my co-worker, can i talk to you",0,0,0,1,0,0,1,1,0
the main thing is my boss' inconsistency in telling us what to do.,1,0,0,0,0,0,1,1,0
I seriusly have nothing to eat and I'm too lazy and broke to go out and get something. maybe for dinner.,1,1,1,0,0,0,0,0,0
it's been a week full of hectic activities. it's so crazy at work .,1,0,0,0,0,0,1,1,0
"my rent was due a week ago, i have not work to earn money",1,0,0,0,0,0,0,1,0
"He was waiting to meet with Gerard for their weekly 'check up' in the coffee shop, though he was late and Frank had already downed two cups.",0,1,0,0,0,0,1,0,0
it's complete traffic bottleneck.,0,1,1,0,0,0,0,0,0
This damn COVID 19!,1,1,0,1,0,0,0,0,1
"You often worry, and your worries prevent you from living life fully.",0,1,1,1,0,0,0,0,0
It's not cool that your fiance cheats on you and mentally absues you.,1,0,0,1,0,0,1,0,1
My finances are stressing me out.,1,1,0,1,0,0,0,1,0
i think my dog is dying.,0,0,0,1,0,1,1,0,0
"My husband works with the person he cheated on me with, how do i handle this?",0,0,0,1,0,1,1,0,0
"I had to, the cold weather makes my bones ache.",0,1,0,0,0,0,0,0,1
believing i'm incompetent at my job.  feels like in over my head.,0,0,1,1,0,0,0,1,0
"With the situation in the Supreme Court soon to reach critical mass, I am very much afraid of where this country is going.",0,1,1,1,0,0,0,0,0
Relationships tend to bring a superfluity of problems to a person's life.,0,1,0,1,0,0,1,0,0
this job hunt is killing me man.,0,0,0,0,0,0,1,1,0
my boss keeps giving me busy work to act like he's a boss,0,1,0,0,0,0,1,1,0
This time is really hard on her with my dad being gone now.,0,0,0,1,0,1,1,0,0
my upcoming trip to denver got cancelled and my govball tickets were cancelled!,0,1,1,0,0,0,1,0,0
I haven't been working with great people lately and its been starting to bug me.,0,0,0,0,0,0,1,1,0
debt payments,1,0,0,1,0,1,0,0,0
my presentation that's coming up,0,1,0,0,1,0,0,1,0
The current pandemic that is going on.,0,1,1,0,0,0,1,0,1
i havent written in a while becuz ive been busy but im really sad about something rite now so yea.,0,1,0,1,0,0,1,0,1
i'm having trouble finding a place big enough for all of us.,1,1,1,0,0,1,0,0,0
no yet,0,1,0,0,0,0,0,0,0
"Anyway I have been having some fucked up days, I have been having some really bad headaches and I never get them.",0,1,0,1,0,0,0,0,1
it hurts when he ignores her in the corridor and when he refuses to spend more than a fleeting moment greeting her.,0,0,0,1,0,0,1,0,0
my family in the holidays. absolutely excruciating time of year full of drama.,0,0,0,0,0,1,1,0,0
"After all, their employer refuses to hire enough staff to realistically cover all duties, so why should they go out of their way to do a good job?",0,1,0,0,0,0,0,1,0
My schedule is really busy. as of right now,0,0,1,0,1,0,1,1,0
i have a lot of family issues,0,0,0,1,0,1,0,0,0
I've been feeling really self consious about myself lately.,0,0,0,1,0,0,0,0,1
Snivling little landlords make me sick.,1,1,1,0,0,0,0,0,0
finding a hard time covering my expenses and bills,1,0,1,1,0,0,0,1,0
being micromanaged at my workplace.,0,0,0,0,0,1,1,1,0
that makes my schoolwork harder to manage.,0,1,0,0,1,0,0,0,0
"Either way, my bathroom is still freezing and I dread taking a shower.",0,1,1,0,0,0,0,0,1
i'm just stressting as i can't figure out when they'll release my favovite show on dvd.,0,1,1,0,0,0,0,0,0
It just bothers me how some of my family treats me and my sister.,0,0,0,0,0,1,0,0,0
"twice I left meetings with Lissa to rush there, and practiced my ass off, and stressed about what I was gonna wear.",0,1,1,0,0,0,1,1,0
This is due to me getting sick and the bubble mailer shortage malls have been experiencing.,0,1,0,0,0,0,0,0,1
I am still hurt by some things that were said about me last night so i wasn't in the best mood but i am over it now thank god.,0,1,0,1,0,0,1,0,0
these kids are driving me crazy,0,1,1,0,0,1,1,0,1
"I had been going twice a week for a long time, but with the hip pain, haven't managed to get to class in weeks.",0,0,0,0,1,0,0,0,1
"On other note, knowing from Dad that grandma's health is not in a good condition which have already made me not feeling good for couple of days.",0,0,0,0,0,1,0,0,1
I think i have a sleeping problem. I cannot seem to get to sleep.. stress?,0,0,0,0,0,0,0,0,1
Our finances during this pandemic,1,0,0,0,0,0,0,0,1
hi im stressing about school,0,0,0,0,1,0,1,1,0
Exams start this week and i'm scared.,0,0,0,0,1,0,0,0,0
my mom is really worried about me.,0,0,0,1,0,1,0,0,0
It's a good kind of busy except I've been bringing work home and I think it's hurting my relationship. Craps!,0,1,0,0,0,0,1,1,0
I'm getting very tired of saccharine manner they want us to apply to our jobs.,1,1,0,0,0,0,0,1,0
I'm in pain almost every day of the week!,0,0,0,0,0,0,0,1,1
pandemic is scary,1,1,1,1,0,0,0,0,1
"Dammit distance, that seems to be the problem of my life.",0,1,1,0,0,0,1,0,0
packing up everything to move out,1,1,1,0,0,1,0,0,0
my girlfriend and i broke up almost a year ago and i'm still not over it.,0,0,0,1,0,0,1,0,0
i cannot get myself in the mindset of having to study and do schoolwork and crap.,0,0,1,1,1,0,0,0,0
"Still, I've been frustrated lately by people that try to force it.",0,1,0,1,0,0,1,0,0
our toilet overflowed and water poured down to the first floor!,0,1,1,0,0,1,1,0,0
"i drink too much alcohol, and i fear it impacting my health.",0,0,1,1,0,0,0,0,1
so my sickness has proceedingly gotten worse.,0,0,0,0,0,0,0,0,1
"P has to work suring this virus, and it's scary.",0,1,0,0,0,0,1,1,1
I have bugged out so much that now my knee starts hurting me whenever I'm scared.,0,1,0,1,0,0,0,0,1
alright i need to finish my paper.,0,1,0,0,1,0,0,0,0
everyone being in my space while stuck at home,0,0,0,1,0,1,1,0,0
i can't stand my parents either. seriously.,0,0,0,1,0,1,0,0,0
my ex-husband is nagging me to proceed with the divorce,0,0,0,1,0,1,1,0,0
i've had a headache for a week straight.,0,0,0,0,0,0,0,0,1
i have been having a hard time going to sleep.,0,0,0,1,0,0,0,0,1
Im stressed and worried about school.,0,0,0,1,1,0,0,0,0
"When I'm all depressed about shit in my life, THIS has to happen.",0,1,1,1,0,0,0,0,0
lack of job options put there,1,0,1,0,0,0,0,1,0
my niece leaving family home uninhabitable,0,0,0,1,0,1,0,0,0
hi friend i am getting very stressfull work we meet in any hotel,0,0,0,0,0,0,0,1,0
just as the moovie started i bolted it too the bathroom and ended up puking.,0,1,0,0,0,0,0,0,1
money issues stress me out,1,0,0,0,0,0,0,0,0
I am sad that I won't have that class anymore.,0,1,0,0,1,0,0,1,0
I'm so worried all the time I can't relax.,0,0,1,1,0,0,0,0,1
"I return to school tomorrow, that sucks.",0,1,0,1,1,0,0,0,1
I have been experiencing self pity lately.,0,0,0,1,0,0,1,0,0
My mother is driving me INSANE.,0,0,0,1,0,1,0,0,0
"Her mom has cancer, too so I'm trying to help her stay strong but its hard being someone's rock when you feel like crumbling yourself.",0,0,0,1,0,1,1,0,1
Coronavirus is happening and I can't leave my house.,0,0,1,1,0,0,1,0,1
The relationships with my friends from high school have completely changed and they're more painful than fulfilling.,0,0,0,1,1,0,1,0,0
filing state taxes for my business.,1,1,0,0,0,0,0,0,0
my client's mom cancelled on wednesdays. idk how i will make up the time.,1,1,0,0,0,0,0,1,0
i have a huge school project due in five days and i haven't started.,0,0,1,0,1,0,0,1,0
"I am really tired, I didn't sleep well last night to do random fretting about moving.",0,1,1,1,0,1,0,0,1
I really needed it off and I'm still struggling to catch up without stressing myself out so much I go crazy.,0,1,1,1,0,0,0,1,0
i hate my job,1,0,0,1,0,0,0,1,0
I have a stress headache and sore neck from work.,0,0,0,0,0,0,0,1,1
After feeling very angry and upset with my mom.,0,0,0,1,0,1,0,0,0
"I hate looking for jobs, I ruined my credentials and theres nothing to consider about me.",1,1,0,0,0,0,1,1,0
I don't get paid until tomorrow and this ruins my life.,1,0,0,1,0,0,0,1,0
EVERY time i get into trouble he always has to try to get my dad to punish me more and more. and gets me sooo pissed.,0,0,0,0,0,1,0,0,0
I am starting to get REALLY nervous about school starting because im sooooo scared that I will make I big mistake that will effect me for a long time.,0,0,0,1,1,0,0,0,0
I'm tired of caring.. I'm tired of emotions.,0,1,0,1,0,0,1,0,0
my relationship with one of my very dear friends has not been at its best,0,0,0,0,0,0,1,0,0
my dogs have been misbehaving. i am worried that one of the them is sick.,0,1,0,1,0,1,0,0,0
Getting ready for upcoming hospital procedure - very stressful.,1,0,0,0,0,0,0,1,1
i am stressing out about graduate school,0,0,0,0,1,0,0,0,0
School has been stressing me out quite a bit,0,0,0,1,1,0,0,1,0
been sick with pneumonia and haven't been able to work,0,0,0,0,0,0,0,1,1
"Haven't had the energy for blogging, or beads, or astrology, or anything.",0,1,0,0,0,0,0,0,1
"Secondly, I know my mom worries a lot, but when she says things like that to me, it scares me.",0,0,0,0,0,1,0,0,0
I began to feel worse as soon as I got home.,0,0,1,0,0,1,0,0,1
im so hungry and im waiting for my totinos to finish cooking lol xoxox,0,1,0,0,0,0,0,0,1
Heartbreak makes it really really difficult to do schoolwork.,0,0,0,1,1,0,1,0,0
this has become particularly difficult at work because i have constant fears that they are meeting to dicsuss firing me.,0,0,0,1,0,0,0,1,0
ta going to jail,0,1,0,0,0,1,0,0,0
he doesnt have enough time with me cuzz oh oh he has to go back to work.,0,1,0,1,0,1,1,1,0
"Now that school is closed because of Coronavirus, I have to do online class!",0,1,0,0,1,0,0,0,0
my vacation is coming up in two weeks and i have no money saved for it.,1,0,0,0,0,0,0,0,0
i need more money for stuff,1,0,0,0,0,0,0,0,0
School is going to be such a bitch to get back into after all this.,0,0,0,0,1,0,0,0,0
trump's trade war,1,1,0,0,0,0,0,0,0
Everyone on my team cannot stand him.,0,1,0,0,0,0,1,1,0
i have so much to do today and now my kid is sick.,0,1,0,1,0,1,0,1,1
feeling insecure about my short hair,0,1,1,0,0,0,1,0,1
How I am going to pay off all my debt is stressing me out.,1,0,0,0,0,0,0,0,0
"everything that has been going on that i explained to you, its all overwhelming me.",0,1,0,0,0,0,1,1,1
I get super stressed up when I can't meet deadlines.. and that happened alot.,0,1,1,0,1,0,0,1,0
"I have so much homework today, it's out of control.",0,1,0,0,1,0,0,0,0
"I, then, blame it on the cat when I want my parents to see and get me some help.",0,1,0,1,0,1,1,0,0
My school work is starting to get bad again.,0,0,1,0,1,0,0,0,0
my kids are driving me crazy.,0,0,0,1,0,1,0,0,0
they're cramming for their final exam.,0,1,0,0,1,0,0,0,1
I am worried about how long we will have to be socially distant.,0,1,0,1,0,0,1,0,0
i have to start college classes on wednesday,0,1,0,0,1,0,0,0,0
This issue about Covid-19 is very stressful to me!,0,0,0,1,0,0,1,0,1
deciding if i should work out or not,0,0,1,0,0,0,0,0,1
work is a lot hectic today...i really need a break,0,0,0,0,0,0,0,1,0
money sucks! why do we have to work so much to get money?,1,1,0,0,0,0,0,1,0
She has some kind of health issue and I don't know what it is.,0,0,0,1,0,1,1,0,1
time management,0,1,1,1,0,0,0,0,0
"besides everything? the amount of wasted time it takes to get anything done, takes time",0,1,1,0,0,0,0,0,0
school is really stressing me out.,0,0,0,0,1,0,0,0,0
SCHOOL IS ABSOLUTELY KILLING ME,0,0,0,0,1,0,0,0,0
Being stuck at home in quarantine,0,1,0,1,0,1,1,0,0
job,0,1,0,0,0,0,0,1,0
Stuff I had planned is being canceled bc of the pandemic,0,1,1,1,0,0,1,0,0
"It's just hard, because my oldest friends have all moved away, and it's hard to get that same comfort level and closeness with people.",0,0,0,1,0,0,1,0,0
my son,0,1,0,0,0,1,0,0,0
I've taken up the difficult and tedious task of cleaning my room.,0,1,1,0,0,0,0,0,0
"When, for whatever reason, those plans have to be changed (especially at the last minute), I find myself quite irritated.",0,1,1,0,0,0,1,0,0
"hey! my mom is stressing me out, again. i get so angry, theni feel bad about my anger wi",0,0,0,1,1,1,1,0,0
"just about everything that can go wrong is going wrong,",0,1,1,1,0,0,1,0,0
oh my gosh! i have been drowning in school work.,0,0,1,0,1,0,0,0,0
my hair makes me feel unattractive,0,1,0,1,0,0,0,1,0
"It doesn't sound professional at all, it all seems very emotional and desperate.",0,1,0,1,0,0,0,1,0
I'm finding it hard to update this thing everyday.,0,1,1,0,0,0,0,0,0
"For some reason, I haven't been able to get to sleep at any reasonable time this week.",0,0,0,0,0,0,0,0,1
i have no idea what to make for dinner,0,0,1,0,0,0,0,0,1
Been working my tail off trying to prep for a huge loss in billable hours thanks to the holidays.,1,0,0,0,0,0,0,1,0
i had to move to a new house.,1,1,1,1,0,0,1,1,0
my MIriam quit. I'm concerned for her because its a medical issue but it made me frazzled a bit.,0,0,0,1,1,0,1,1,1
i think i'm going to have an issue w/ scheduling... i have hardly any time to schedule lessons.,1,1,1,0,1,0,0,0,0
